date,state,cases,deaths,state_code
II 2021,Maryland,462496,9741,MD
II 2021,Massachusetts,709966,17994,MA
II 2021,Michigan,998606,20984,MI
II 2021,Minnesota,605458,7687,MN
II 2021,Mississippi,321764,7412,MS
II 2021,Missouri,634733,9919,MO
II 2021,Montana,113862,1665,MT
II 2021,Nebraska,224753,2520,NE
II 2021,Nevada,333712,5681,NV
II 2021,New Hampshire,99504,1372,NH
II 2021,New Jersey,1023395,26452,NJ
II 2021,New Mexico,205542,4342,NM
II 2021,New York,2113147,53095,NY
II 2021,North Carolina,1014682,13450,NC
II 2021,North Dakota,110738,1559,ND
II 2021,Ohio,1111324,20309,OH
II 2021,Oklahoma,457851,7388,OK
II 2021,Oregon,208680,2803,OR
II 2021,Pennsylvania,1216579,27725,PA
II 2021,Rhode Island,152613,2730,RI
II 2021,South Carolina,596840,9819,SC
II 2021,South Dakota,124536,2035,SD
II 2021,Tennessee,854211,12466,TN
II 2021,Texas,2993964,52518,TX
II 2021,Utah,415210,2371,UT
II 2021,Vermont,24410,256,VT
II 2021,Virginia,680340,11415,VA
II 2021,Washington,453630,5984,WA
II 2021,West Virginia,164041,2891,WV
II 2021,Wisconsin,677833,8128,WI
II 2021,Wyoming,62290,747,WY
III 2021,Alabama,796475,14299,AL
III 2021,Alaska,113835,559,AK
III 2021,Arizona,1093583,19984,AZ
III 2021,Arkansas,496077,7691,AR
III 2021,California,4739046,69278,CA
III 2021,Colorado,674847,7731,CO
III 2021,Connecticut,390345,8629,CT
III 2021,Delaware,132963,1954,DE
III 2021,District of Columbia,61153,1174,DC
III 2021,Florida,3570752,55009,FL
III 2021,Georgia,1544381,25224,GA
III 2021,Hawaii,76784,779,HI
III 2021,Idaho,257372,2908,ID
III 2021,Illinois,1632653,27665,IL
III 2021,Indiana,966199,15658,IN
III 2021,Iowa,452057,6563,IA
III 2021,Kansas,410041,6079,KS
III 2021,Kentucky,696861,8858,KY
III 2021,Louisiana,740533,13949,LA
III 2021,Maine,89989,1022,ME
III 2021,Maryland,532570,10442,MD
III 2021,Massachusetts,811951,18627,MA
III 2021,Michigan,1148303,22337,MI
III 2021,Minnesota,711197,8256,MN
III 2021,Mississippi,488394,9600,MS
III 2021,Missouri,837141,12192,MO
III 2021,Montana,151184,2009,MT
III 2021,Nebraska,266449,2832,NE
III 2021,Nevada,421319,7150,NV
III 2021,New Hampshire,120268,1481,NH
III 2021,New Jersey,1154570,27427,NJ
III 2021,New Mexico,253024,4803,NM
III 2021,New York,2424535,54933,NY
III 2021,North Carolina,1397529,16541,NC
III 2021,North Dakota,132192,1645,ND
III 2021,Ohio,1413972,21945,OH
III 2021,Oklahoma,613765,8949,OK
III 2021,Oregon,330054,3791,OR
III 2021,Pennsylvania,1429940,29400,PA
III 2021,Rhode Island,172361,2838,RI
III 2021,South Carolina,857386,12472,SC
III 2021,South Dakota,145018,2142,SD
III 2021,Tennessee,1200264,15026,TN
III 2021,Texas,4059956,65532,TX
III 2021,Utah,508593,2932,UT
III 2021,Vermont,33662,317,VT
III 2021,Virginia,866776,12750,VA
III 2021,Washington,660467,7780,WA
III 2021,West Virginia,240459,3670,WV
III 2021,Wisconsin,810382,8888,WI
III 2021,Wyoming,90602,996,WY
IV 2021,Alabama,896614,16455,AL
IV 2021,Alaska,156130,954,AK
IV 2021,Arizona,1381488,24229,AZ
IV 2021,Arkansas,566486,9148,AR
IV 2021,California,5515613,76709,CA
IV 2021,Colorado,933257,10480,CO
IV 2021,Connecticut,510188,9160,CT
IV 2021,Delaware,180366,2286,DE
IV 2021,District of Columbia,94286,1211,DC
IV 2021,Florida,4166392,62504,FL
IV 2021,Georgia,1798497,30283,GA
IV 2021,Hawaii,109576,1087,HI
IV 2021,Idaho,319442,4163,ID
IV 2021,Illinois,2154058,31017,IL
